CUST_ID,da_Mean,rev_Range,mou_Range,change_mou,unan_vce_Mean,owylis_vce_Mean,mouowylisv_Mean,peak_vce_Mean,mou_peav_Mean,opk_vce_Mean,mou_opkv_Mean,crclscod,asl_flag,totcalls,totmou,avgmou,hnd_price,lor,dwlltype,marital,wrkwoman,proptype,pcowner,kid0_2,kid6_10,kid11_15,kid16_17,car_buy
1,0.7425,2.97,741,-356.75,18,19,19.26333333,93.33333333,298.1133333,12.66666667,21.29333333,AA,N,4644,16001,840.68,9.989997864,15,S,M,Y,,Y,U,U,U,U,New
2,0,122.16,889,-321.5,44.66666667,50,67.91666667,287.6666667,547.61,90.66666667,193.0033333,CA,Y,2644,6980,464,29.98999023,9,S,S,,,,U,U,U,U,New
3,0.2475,15.75,242,-3.5,14,10,8.166666667,35.33333333,65.62,61.33333333,123.6166667,A,N,1296,3277,166.21,29.98999023,13,S,U,,A,Y,U,Y,U,U,New
4,7.1775,194.04,839,-141.25,38.33333333,84.66666667,102.3866667,172.6666667,446.07,139.6666667,432.19,AA,N,5767,17919,775.96,199.9899902,4,,B,,,,U,U,U,U,UNKNOWN
5,1.485,170.63,1038,-711.25,87.33333333,128.3333333,142.9766667,185,299.2,254.6666667,439.0066667,AA,N,8012,17805,980.5,9.989997864,15,S,M,,A,Y,U,U,U,Y,New
6,0,6.75,293,-99.5,34.66666667,35.66666667,47.56333333,127.3333333,200.8033333,55.66666667,63.81666667,AA,N,4292,13775,894.13,129.9899902,6,S,U,,A,,U,U,U,U,UNKNOWN
7,1.2375,128.09,546,-161,9.666666667,56.33333333,44.36333333,241,1106.61,84.66666667,302.7633333,B,N,10862,31550,685.09,59.98999023,5,,U,,,,U,U,U,U,UNKNOWN
8,0,0,366,-139,1.333333333,1.333333333,2.326666667,8,22.24333333,6.333333333,26.09,AA,N,1242,4124,374.91,199.9899902,5,,U,,,,U,U,U,U,UNKNOWN
9,0.2475,10.2,241,-144.25,0,0,0,0,0,0,0,B,N,549,1239,123,29.98999023,5,,U,,,,U,U,U,U,UNKNOWN
10,0.2475,0.99,290,146.25,29,27.66666667,15.87,82.66666667,111.6333333,147.6666667,200.5033333,AA,N,6240,9225,418.95,29.98999023,10,S,S,Y,A,,U,U,Y,Y,New
11,0,0.9,10,3.25,7.333333333,0.333333333,0.133333333,5,4.82,3.666666667,7.213333333,CA,N,1918,3020,135.77,29.98999023,5,,U,,,,U,U,U,U,UNKNOWN
12,0,8.9,260,-95.5,15,7.333333333,17.83,31.66666667,80.76333333,16.33333333,122.8666667,AA,N,428,1910,190.5,149.9899902,2,S,U,,A,Y,U,U,U,U,UNKNOWN
13,0,0,185,-56.5,2.666666667,0.333333333,0.006666667,15.33333333,81.39,0.333333333,15.47333333,AA,N,1751,6104,275.05,29.98999023,1,S,B,,,,U,U,U,U,UNKNOWN
14,1.485,3.02,269,-83.75,9.333333333,26,56.53666667,56.33333333,108.6766667,6,11.08333333,CA,N,1290,3828,165.09,149.9899902,4,S,M,,A,,U,Y,U,U,New
15,0,0,62,10.5,2.666666667,0.333333333,0.4,23,25.56333333,1.666666667,0.99,CA,N,2401,4611,228.85,149.9899902,1,M,S,,,,U,U,U,U,UNKNOWN
16,0,41.22,416,50,58,4,5.033333333,76.33333333,78.88,65,69.70333333,BA,Y,1735,3341,333.8,129.9899902,1,S,U,,,,U,U,U,U,UNKNOWN
17,0,7.5,126,-69.5,8.666666667,4,9.103333333,26.33333333,163.8533333,24,116.3833333,B,N,1891,11614,408.21,29.98999023,2,S,B,,,Y,U,U,U,U,UNKNOWN
18,0,0.39,113,73.25,18,12.33333333,5.016666667,64.66666667,83.02333333,40.33333333,39.01333333,AA,N,1179,2453,203.75,149.9899902,4,M,U,,,,U,U,Y,U,UNKNOWN
19,0.2475,1.14,37,-18.5,5.666666667,9,8.253333333,49.66666667,57.54,11,9.796666667,AA,N,782,1605,160.5,29.98999023,5,,U,,,,U,U,U,U,UNKNOWN
20,0.2475,37.88,164,-119.5,25.33333333,23,28.98,90.66666667,156.0466667,66.66666667,182.8833333,AA,N,2294,8285,689.83,79.98999023,4,M,M,Y,,Y,U,U,U,U,New
21,0.495,1.98,163,-46.5,5.666666667,6,8.036666667,12,30.47666667,14.33333333,54.05666667,AA,N,3377,6463,268.67,29.98999023,1,,U,,,,U,Y,Y,U,UNKNOWN
22,0.99,1.98,187,117.75,7.666666667,1.333333333,4.513333333,42,228.59,24.33333333,231.9333333,AA,N,2052,10933,401.78,29.98999023,0,S,M,,,,U,U,U,U,UNKNOWN
